layer,cka_global,cka_trait_subspace,cka_trait_neutral,trait_uplift,rho2_trait_proxy
0,0.0,0.0,0.0,0.0,0.0
1,0.9992811576646008,0.9992031407047821,0.9994479565242647,0.9999219269179447,0.9992031407047821
2,0.9958072310978425,0.9953228966227625,0.9980116422753861,0.9995136262722796,0.9953228966227625
3,0.9918331327313141,0.9916379098599506,0.9952871915066868,0.9998031696412218,0.9916379098599506
4,0.9849684526605247,0.9861158209099216,0.9877608821481346,1.0011648781707654,0.9861158209099216
5,0.9574557673353409,0.9667174494912335,0.9623508293504731,1.0096732219616458,0.9667174494912335
6,0.9815842603816096,0.9772345001668572,0.9886750853177665,0.9955686328822537,0.9772345001668572
7,0.9790373409288452,0.975983571676179,0.9849906397043892,0.9968808449637181,0.975983571676179
8,0.9840601114770041,0.9814326771824277,0.9868547784681841,0.997330006303545,0.9814326771824277
9,0.9837455425405696,0.9775824818756543,0.9916780069908995,0.9937351068966485,0.9775824818756543
10,0.9806114061430774,0.976728753474346,0.9873246534148707,0.9960405797399373,0.976728753474346
11,0.9734231563759836,0.9713046415247646,0.9849979132297014,0.9978236444886865,0.9713046415247646
12,0.9777864922956734,0.9734269152588447,0.9813855366312596,0.995541381404653,0.9734269152588447
13,0.9812527967595331,0.9692977575163776,0.9875645502182563,0.9878165552417933,0.9692977575163776
14,0.9830426147038284,0.9645670786113231,0.9869219247400189,0.9812057627857043,0.9645670786113231
15,0.9819102601052293,0.9588375733355458,0.9857739539840288,0.9765022449534126,0.9588375733355458
16,0.9816704091849368,0.9588997402210152,0.9832800781457244,0.9768041607948358,0.9588997402210152
17,0.9857404259103917,0.9661135201824911,0.9869870596956039,0.980089174378971,0.9661135201824911
18,0.986577313829892,0.9702648912261307,0.9899585875701363,0.9834656418963897,0.9702648912261307
19,0.9894170908004616,0.9801624723368346,0.9913611535414948,0.9906463931645453,0.9801624723368346
20,0.988069690359445,0.980754140766404,0.9873378000857344,0.9925961198239167,0.980754140766404
21,0.9877391757370659,0.9768406798012399,0.9861166527695255,0.9889662208368991,0.9768406798012399
22,0.9874676633832534,0.973852143976658,0.9866594643259256,0.9862116807349963,0.973852143976658
23,0.9873738154748514,0.9735098926822954,0.9860953063449052,0.9859587903028515,0.9735098926822954
24,0.985506018546442,0.9673749234696924,0.9831800668715563,0.9816022482506076,0.9673749234696924
25,0.9832725298482763,0.9553227910776682,0.9843614864484126,0.9715747791968511,0.9553227910776682
26,0.9778696773385709,0.950796787887445,0.9796398530306174,0.9723144197243041,0.950796787887445
27,0.9764057644020051,0.9455288512603522,0.9765147007661452,0.9683769655328046,0.9455288512603522
28,0.9681450177792499,0.9372756500172212,0.9539472093676369,0.9681149340283366,0.9372756500172212
