mi_linear_bits,mi_mlp_bits,linear_over_mlp,layer,n_base,n_teacher
0.8112781244576902,0.8112781244576902,1.0,0,100,300
0.8112626976305433,0.2987677850064784,2.715362024767671,1,100,300
0.8112735597251449,0.8112781244576902,0.9999943734061012,2,100,300
0.8112781244576902,0.8111805749194563,1.0001202562552038,3,100,300
0.8112653463888825,0.8112781244576902,0.9999842494596828,4,100,300
0.8112781244576902,0.8112781244576902,1.0,5,100,300
0.8112781244576902,0.8107127620138824,1.0006973646774764,6,100,300
0.8112720111939444,0.810014158083322,1.0015528779319103,7,100,300
0.8112690322781931,0.8112781244576902,0.9999887927712791,8,100,300
0.8112778664806339,0.8112781244576902,0.999999682011571,9,100,300
0.8112412372239265,0.8112781244576902,0.9999545319506941,10,100,300
0.8107698793725493,0.8112781244576902,0.999373525465782,11,100,300
0.8101656214100199,0.811270249191835,0.9986383972752415,12,100,300
0.8106121290180329,0.81125324444324,0.9992097222049977,13,100,300
0.8112699049727208,0.8112781244576902,0.9999898684745445,14,100,300
0.8112764932401166,0.8112781244576902,0.9999979893238529,15,100,300
0.8112781244576902,0.8112327317237995,1.0000559552544117,16,100,300
0.8112781244576902,0.8112091601017257,1.0000850142717272,17,100,300
0.8112684002016785,0.8107763185631534,1.0006069265064341,18,100,300
0.8112639428447342,0.8112781244576902,0.999982519419015,19,100,300
0.8112506625568499,0.8112781244576902,0.9999661498319596,20,100,300
0.811149987759469,0.8112781244576902,0.9998420557705696,21,100,300
0.8112781244576902,0.8112781244576902,1.0,22,100,300
0.8112710587980526,0.8112781244576902,0.999991290706079,23,100,300
0.8112781244576902,0.8112781244576902,1.0,24,100,300
0.811273696682448,0.29350906496825757,2.7640498829914697,25,100,300
0.8112781244576902,0.290778252773648,2.7900233828326138,26,100,300
0.8112781244576902,0.30236819869393783,2.683080191508101,27,100,300
0.8112781244576902,0.0,811278124.4576901,28,100,300
